iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
ARG,South America,Argentina,3/4/2020,1,1,0,0,0.022,0.022,0,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/6/2020,2,1,0,0,0.044,0.022,0,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/7/2020,8,6,0,0,0.177,0.133,0,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/8/2020,9,1,1,1,0.199,0.022,0.022,0.022,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/9/2020,12,3,1,0,0.266,0.066,0.022,0,,,,,,,,11.11,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/11/2020,19,7,1,0,0.42,0.155,0.022,0,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/13/2020,31,12,1,0,0.686,0.266,0.022,0,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/14/2020,34,3,2,1,0.752,0.066,0.044,0.022,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/15/2020,45,11,2,0,0.996,0.243,0.044,0,,,,,,,,25,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/16/2020,56,11,2,0,1.239,0.243,0.044,0,,,,,,,,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/17/2020,65,9,2,0,1.438,0.199,0.044,0,,,,,,,,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/18/2020,79,14,2,0,1.748,0.31,0.044,0,,,,,,,,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/19/2020,97,18,2,0,2.146,0.398,0.044,0,,,,,,,,75,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/20/2020,128,31,3,1,2.832,0.686,0.066,0.022,,,,,,,,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/21/2020,158,30,3,0,3.496,0.664,0.066,0,,,,,,,,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/22/2020,225,67,4,1,4.978,1.482,0.089,0.022,,,,,,,,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/23/2020,266,41,4,0,5.886,0.907,0.089,0,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
ARG,South America,Argentina,3/24/2020,301,35,4,0,6.66,0.774,0.089,0,,,,,,,,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5
