iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
DZA,Africa,Algeria,12/31/2019,0,0,0,0,0,0,0,0,,,,,,,,,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/1/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/2/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/3/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/4/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/5/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/6/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/7/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/8/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/9/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/10/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/11/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/12/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/13/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/14/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/15/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/16/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/17/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/18/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/19/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/20/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/21/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/22/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/23/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/24/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/25/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/26/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/27/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/28/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/29/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/30/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,1/31/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/1/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/2/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/3/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/4/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/5/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/6/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/7/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/8/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/9/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/10/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/11/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/12/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/13/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/14/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/15/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/16/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/17/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/18/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
DZA,Africa,Algeria,2/19/2020,0,0,0,0,0,0,0,0,,,,,,,,0,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
